"条文
校正
数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16,7083,8141,5321,5826,5407,5179,7167,6218,5954,6948,5065,7145,5614,8060,5297,5162,5322,6682,7964,8503
18,9128,9631,3095,6258,8482,6852,8177,4699,9427,9756,343,8467,3722,11841,8372,6314,600,5163,6519,11727
20,8806,9641,3329,5796,6584,7101,8112,8276,7024,7358,6375,8789,7728,8330,6474,6619,6632,8740,8731,9530
22,5855,6179,3618,5310,5431,5325,6239,5448,5380,5389,4808,6563,4518,6776,5321,5059,5065,4082,6897,9538
24,5562,7166,8942,6780,6883,3334,4423,11222,7688,8152,2404,4735,10696,9292,6773,3423,2661,9406,11703,11708
26,5450,7400,3257,2373,2731,4016,5139,5194,3308,4248,3356,5493,3479,5976,2621,3874,2613,3721,6693,7129
28,7301,7253,5156,5522,5359,6066,7219,5330,5364,5912,4475,7022,3633,6715,5249,5493,4732,5554,6553,6886
30,6181,6430,5202,5263,5296,4531,5598,7261,5551,5758,3951,5739,6578,6834,5186,4405,4208,5666,7399,7690
32,4923,5268,4998,4561,4710,10406,4680,6470,5173,5467,7557,4651,5416,6957,4600,8395,7814,5462,6831,8360
34,7679,7956,3845,5588,6801,6366,7678,5892,6966,7131,3828,11186,4483,8743,6691,4488,4085,4309,8562,8429
36,3859,9444,6979,5064,6057,6931,8421,8011,6387,6268,5969,10166,7913,7089,5947,6528,6226,7443,8160,8617
38,6060,7200,3686,5695,5624,3762,4706,4473,5589,5742,2599,4778,4490,7125,5514,3421,2856,4150,7457,8348
40,6587,8906,3737,5633,5755,4286,5452,7252,6607,7150,3779,5670,4446,8848,5645,4267,4036,4201,9274,9630
,,,,,,,,,,,,,,,,,,,,
"条 文
校正数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流 年 字
母",福,方,神,桃,滞,粉,问,物,忆,召,勿,分,肾,舌,离,务,娼,尾,誓,绍
"加
数
流 年 岁
数",162,318,681,968,177,474,630,849,351,525,786,992,492,699,873,187,373,200,184,168
41,848,1545,1993,506,1970,2630,2808,1936,1882,2338,3834,871,2182,3665,4420,4221,4603,2851,5819,4196
43,1024,2240,410,581,2865,2505,2406,338,2873,3249,3224,1566,599,3319,4462,3901,4050,2755,5163,3850
45,1401,2024,407,83,1495,2674,2592,444,1654,1617,2721,1350,596,1801,2181,4264,4072,1823,3708,2332
47,1041,2805,3254,76,1926,3653,1808,4060,2371,3135,3683,2131,3443,3178,4362,4307,4078,801,5231,3709
49,6233,6372,7293,5427,6672,6642,6718,7907,6920,6805,6969,5698,7482,7177,7749,7630,750,8645,7975,7708
51,876,847,345,45,1814,1467,2503,518,1871,2283,3009,173,534,2567,3097,3890,4092,1634,4561,3098
53,1362,1638,496,438,1842,2120,2760,578,2021,2023,3022,964,685,2228,4066,3625,3935,2146,5224,2759
55,1726,2093,450,175,1196,2694,2591,636,1457,1672,2583,1419,639,2082,2454,3199,3025,2700,3674,2613
57,991,1511,580,410,1568,1724,2452,876,2016,2940,2709,837,769,3301,3402,3335,3222,2361,4846,3832
59,877,905,509,151,1710,2289,2857,2346,2590,3300,3101,231,698,4245,4355,3853,4272,3603,4822,4776
61,1537,2121,787,112,1689,2913,2819,2240,2018,3541,3364,1447,976,4325,5656,4181,4065,3367,5934,4072
63,844,1220,713,548,1736,1345,2566,576,2492,3033,3552,546,902,6637,7598,4371,4703,3264,8755,7163
65,935,1759,552,417,1747,2414,3004,1586,2526,3419,3636,1085,741,4080,4126,4259,4184,2308,5910,4611
67,938,1549,533,87,1333,3217,4003,1647,1891,2463,5142,875,722,2892,3311,5860,5694,2954,5411,3423
69,976,945,512,10304,10484,1954,2419,1726,9048,4873,3239,271,701,6769,6550,4605,4793,2993,3251,7300
,,,,,,,,,,,,,,,,,,,,
"条 文
校正数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流 年 字
母",动,弟,器,等,旦,鲁,屯,玄,亶,訾,吏,社,坷,西,刀,禄,龙,和,萨,省
"加
数
流 年 岁
数",584,776,398,364,544,931,200,794,724,904,816,392,596,177,654,754,559,330,345,513
42,5836,6072,3859,5993,4544,4616,5622,4588,5944,6004,4182,5785,4024,7478,4434,4516,4439,5052,6563,7379
44,6187,6184,3091,6266,6279,4381,5641,3518,6463,6547,3615,5840,3042,7435,6169,4287,3872,3982,7421,7442
46,5278,5155,2008,3741,5302,4041,5233,4357,5391,6111,3635,5457,1937,7145,5192,4107,3892,4821,7447,7297
48,8878,8560,1241,6518,4842,4345,5975,2006,6046,6262,3757,7159,1702,7538,4732,3872,4014,2470,7568,7685
50,8263,8190,8588,8076,7843,2493,3860,9644,8020,7896,794,4117,8609,9073,7733,2110,1051,10108,11302,11402
52,5325,5157,2408,4718,7426,4109,5014,4776,5063,5751,3722,5048,3967,6622,7316,3838,3979,5240,6541,7843
54,5140,5063,3316,7461,7543,3886,4933,5656,8132,8052,3680,5246,3498,9039,7433,3938,3937,6120,8861,8779
56,4799,4923,2925,3992,4539,3872,4783,4345,4433,4401,3290,4682,3463,5129,4429,3865,3547,4809,5143,5158
58,5375,5785,3598,5271,5521,3711,5252,4269,6066,6762,3095,5328,3799,8270,5411,3708,3352,4733,8881,11202
60,6443,6297,4689,5579,5878,4540,5319,5275,5961,5961,3906,6240,4506,8048,5768,4485,4163,5739,8111,7973
62,6009,6304,5271,6308,6418,3827,4656,7643,7876,7947,3743,4874,5881,8732,6308,3901,4000,8107,8901,2858
64,8495,8944,4270,1262,11373,6144,7239,7639,11744,514,4933,8465,5164,2270,11263,6212,5190,8103,12535,11239
66,7708,8800,3851,6105,6136,4980,7182,5902,6486,7427,4170,7025,4539,8864,6026,4914,4427,6366,10286,11713
68,7908,10211,4150,5095,5715,6763,8488,10275,5611,5729,6029,9327,4589,7710,5605,6223,6286,10739,8365,8807
70,12403,12159,4575,3178,6653,5356,7960,7647,11253,5964,4407,8483,4957,11605,6543,5461,4664,8111,11933,11985
,,,,,,,,,,,,,,,,,,,,
"条 文
校正数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流 年 字
母",福,方,神,桃,滞,粉,问,物,忆,召,勿,分,肾,舌,离,务,娼,尾,誓,绍
"加
数
流 年 岁
数",162,318,681,968,177,474,630,849,351,525,786,992,492,699,873,187,373,200,184,168
71,2856,3230,2637,763,1639,3369,3367,5476,1581,2729,3538,2556,2826,2603,2806,5312,5655,3792,3781,3134
73,1347,1316,1410,2829,3641,1827,2826,1594,5152,5724,3103,642,1599,5851,5744,3609,3577,3884,6637,6382
75,1658,2402,564,413,1585,2612,2788,1529,1580,1951,3566,1728,753,2037,2819,4202,5918,3416,3764,2568
77,1261,2274,2247,130,1029,2162,2804,2457,1191,2411,2950,1600,2436,2838,4723,3706,4535,3319,5957,3369
79,3231,3269,1121,677,1535,3415,3363,738,1437,1717,3204,2595,1310,1630,2823,4204,4138,5376,4427,2161
,,,,,,,,,,,,,,,,,,,,
"条 文
校正数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流 年 字
母",动,弟,器,等,旦,鲁,屯,玄,亶,訾,吏,社,坷,西,刀,禄,龙,和,萨,省
"加
数
流 年 岁
数",584,776,398,364,544,931,200,794,724,904,816,392,596,177,654,754,559,330,345,513
72,8235,8105,7191,3634,3914,6160,7385,8203,3883,4574,5763,7931,7867,6011,3804,5814,6020,8667,5892,6179
74,7501,11742,4117,7710,7682,3826,6320,5335,7483,7486,3359,6509,4549,8281,7572,3754,3616,5799,8362,8204
76,3863,3673,3543,4677,4657,7223,9369,6216,5360,5321,6511,10752,4612,6269,4547,6582,6768,6680,7371,7905
78,5873,6201,3716,7373,11428,4418,5457,5031,11814,12053,4280,5591,4122,,11318,4486,4537,5495,,
80,7387,7304,5991,6789,6919,4797,5551,7703,7782,8746,3658,6256,7308,9493,6809,4810,3915,8167,,
