条文校正数,流年字母,流年岁数,基数,加数
1,勿,93,2155,992
1,娼,93,2155,992
1,问,93,2155,992
1,福,95,3530,992
1,分,95,3530,992
1,粉,95,3530,992
1,方,95,3530,992
1,务,95,3530,992
1,勿,95,3530,992
1,娼,95,3530,992
1,问,95,3530,992
1,福,97,3642,992
1,分,97,3642,992
1,粉,97,3642,992
1,方,97,3642,992
1,务,97,3642,992
1,勿,97,3642,992
1,娼,97,3642,992
1,问,97,3642,992
1,福,99,3145,992
1,分,99,3145,992
1,粉,99,3145,992
1,方,99,3145,992
1,务,99,3145,992
1,勿,99,3145,992
1,娼,99,3145,992
1,问,99,3145,992
1,福,101,8436,992
1,分,101,8436,992
1,粉,101,8436,992
1,方,101,8436,992
1,务,101,8436,992
1,勿,101,8436,992
1,娼,101,8436,992
1,问,101,8436,992
1,福,103,3007,992
1,分,103,3007,992
1,粉,103,3007,992
1,方,103,3007,992
1,务,103,3007,992
1,勿,103,3007,992
1,娼,103,3007,992
1,问,103,3007,992
1,福,107,8517,992
1,分,107,8517,992
1,粉,107,8517,992
1,方,107,8517,992
1,务,107,8517,992
1,勿,107,8517,992
1,娼,107,8517,992
1,问,107,8517,992
2,器,2,7658,493
2,坷,2,7658,493
2,玄,2,7658,493
2,和,2,7658,493
2,器,4,8499,493
2,坷,4,8499,493
2,玄,4,8499,493
2,和,4,8499,493
2,器,6,6005,493
2,坷,6,6005,493
2,玄,6,6005,493
2,和,6,6005,493
2,器,8,5961,493
2,坷,8,5961,493
2,玄,8,5961,493
2,和,8,5961,493
2,器,10,8855,493
2,坷,10,8855,493
2,玄,10,8855,493
2,和,10,8855,493
2,器,82,4437,493
2,坷,82,4437,493
2,玄,82,4437,493
2,和,82,4437,493
2,器,84,8492,493
2,坷,84,8492,493
2,玄,84,8492,493
2,和,84,8492,493
2,器,86,7037,493
2,坷,86,7037,493
2,玄,86,7037,493
2,和,86,7037,493
2,器,90,7018,493
2,坷,90,7018,493
2,玄,90,7018,493
2,和,90,7018,493
2,器,92,8836,493
2,坷,92,8836,493
2,玄,92,8836,493
2,和,92,8836,493
2,器,94,8772,493
2,坷,94,8772,493
2,玄,94,8772,493
2,和,94,8772,493
2,器,98,11284,493
2,坷,98,11284,493
2,玄,98,11284,493
2,和,98,11284,493
2,器,104,8977,493
2,坷,104,8977,493
2,玄,104,8977,493
2,和,104,8977,493
3,忆,1,1753,655
3,召,1,1753,655
3,滞,1,1753,655
3,桃,1,1753,655
3,舌,1,1753,655
3,离,1,1753,655
3,誓,1,1753,655
3,绍,1,1753,655
3,忆,3,7601,655
3,召,3,7601,655
3,滞,3,7601,655
3,桃,3,7601,655
3,舌,3,7601,655
3,离,3,7601,655
3,誓,3,7601,655
3,绍,3,7601,655
3,忆,5,4752,655
3,召,5,4752,655
3,滞,5,4752,655
3,桃,5,4752,655
3,舌,5,4752,655
3,离,5,4752,655
3,誓,5,4752,655
3,绍,5,4752,655
3,忆,7,5571,655
3,召,7,5571,655
3,滞,7,5571,655
3,桃,7,5571,655
3,舌,7,5571,655
3,离,7,5571,655
3,誓,7,5571,655
3,绍,7,5571,655
3,忆,9,3924,655
3,召,9,3924,655
3,滞,9,3924,655
3,桃,9,3924,655
3,舌,9,3924,655
3,离,9,3924,655
3,誓,9,3924,655
3,绍,9,3924,655
3,忆,81,5400,655
3,召,81,5400,655
3,滞,81,5400,655
3,桃,81,5400,655
3,舌,81,5400,655
3,离,81,5400,655
3,誓,81,5400,655
3,绍,81,5400,655
3,忆,83,3202,655
3,召,83,3202,655
3,滞,83,3202,655
3,桃,83,3202,655
3,舌,83,3202,655
3,离,83,3202,655
3,誓,83,3202,655
3,绍,83,3202,655
3,忆,85,4099,655
3,召,85,4099,655
3,滞,85,4099,655
3,桃,85,4099,655
3,舌,85,4099,655
3,离,85,4099,655
3,誓,85,4099,655
3,绍,85,4099,655
3,忆,87,4993,655
3,召,87,4993,655
3,滞,87,4993,655
3,桃,87,4993,655
3,舌,87,4993,655
3,离,87,4993,655
3,誓,87,4993,655
3,绍,87,4993,655
3,忆,89,3536,655
3,召,89,3536,655
3,滞,89,3536,655
3,桃,89,3536,655
3,舌,89,3536,655
3,离,89,3536,655
3,誓,89,3536,655
3,绍,89,3536,655
3,忆,91,8000,655
3,召,91,8000,655
3,滞,91,8000,655
3,桃,91,8000,655
3,舌,91,8000,655
3,离,91,8000,655
3,誓,91,8000,655
3,绍,91,8000,655
3,忆,93,7214,655
3,召,93,7214,655
3,滞,93,7214,655
3,桃,93,7214,655
3,舌,93,7214,655
3,离,93,7214,655
3,誓,93,7214,655
3,绍,93,7214,655
3,忆,95,7068,655
3,召,95,7068,655
3,滞,95,7068,655
3,桃,95,7068,655
3,舌,95,7068,655
3,离,95,7068,655
3,誓,95,7068,655
3,绍,95,7068,655
3,忆,97,11058,655
3,召,97,11058,655
3,滞,97,11058,655
3,桃,97,11058,655
3,舌,97,11058,655
3,离,97,11058,655
3,誓,97,11058,655
3,绍,97,11058,655
3,忆,99,7115,655
3,召,99,7115,655
3,滞,99,7115,655
3,桃,99,7115,655
3,舌,99,7115,655
3,离,99,7115,655
3,誓,99,7115,655
3,绍,99,7115,655
3,忆,101,10716,655
3,召,101,10716,655
3,滞,101,10716,655
3,桃,101,10716,655
3,舌,101,10716,655
3,离,101,10716,655
3,誓,101,10716,655
3,绍,101,10716,655
3,忆,105,10376,655
3,召,105,10376,655
3,滞,105,10376,655
3,桃,105,10376,655
3,舌,105,10376,655
3,离,105,10376,655
3,誓,105,10376,655
3,绍,105,10376,655
4,龙,2,3105,169
4,吏,2,3105,169
4,鲁,2,3105,169
4,禄,2,3105,169
4,动,2,3105,169
4,弟,2,3105,169
4,社,2,3105,169
4,屯,2,3105,169
4,龙,4,5650,169
4,吏,4,5650,169
4,鲁,4,5650,169
4,禄,4,5650,169
4,动,4,5650,169
4,弟,4,5650,169
4,社,4,5650,169
4,屯,4,5650,169
4,龙,6,5456,169
4,吏,6,5456,169
4,鲁,6,5456,169
4,禄,6,5456,169
4,动,6,5456,169
4,弟,6,5456,169
4,社,6,5456,169
4,屯,6,5456,169
4,龙,8,8705,169
4,吏,8,8705,169
4,鲁,8,8705,169
4,禄,8,8705,169
4,动,8,8705,169
4,弟,8,8705,169
4,社,8,8705,169
4,屯,8,8705,169
4,龙,10,5852,169
4,吏,10,5852,169
4,鲁,10,5852,169
4,禄,10,5852,169
4,动,10,5852,169
4,弟,10,5852,169
4,社,10,5852,169
4,屯,10,5852,169
4,龙,82,4120,169
4,吏,82,4120,169
4,鲁,82,4120,169
4,禄,82,4120,169
4,动,82,4120,169
4,弟,82,4120,169
4,社,82,4120,169
4,屯,82,4120,169
4,龙,84,4529,169
4,吏,84,4529,169
4,鲁,84,4529,169
4,禄,84,4529,169
4,动,84,4529,169
4,弟,84,4529,169
4,社,84,4529,169
4,屯,84,4529,169
4,龙,86,5775,169
4,吏,86,5775,169
4,鲁,86,5775,169
4,禄,86,5775,169
4,动,86,5775,169
4,弟,86,5775,169
4,社,86,5775,169
4,屯,86,5775,169
4,龙,88,5708,169
4,吏,88,5708,169
4,鲁,88,5708,169
4,禄,88,5708,169
4,动,88,5708,169
4,弟,88,5708,169
4,社,88,5708,169
4,屯,88,5708,169
4,龙,90,3988,169
4,吏,90,3988,169
4,鲁,90,3988,169
4,禄,90,3988,169
4,动,90,3988,169
4,弟,90,3988,169
4,社,90,3988,169
4,屯,90,3988,169
4,龙,92,9070,169
4,吏,92,9070,169
4,鲁,92,9070,169
4,禄,92,9070,169
4,动,92,9070,169
4,弟,92,9070,169
4,社,92,9070,169
4,屯,92,9070,169
4,龙,94,4067,169
4,吏,94,4067,169
4,鲁,94,4067,169
4,禄,94,4067,169
4,动,94,4067,169
4,弟,94,4067,169
4,社,94,4067,169
4,屯,94,4067,169
4,龙,96,9101,169
4,吏,96,9101,169
4,鲁,96,9101,169
4,禄,96,9101,169
4,动,96,9101,169
4,弟,96,9101,169
4,社,96,9101,169
4,屯,96,9101,169
4,龙,98,9121,169
4,吏,98,9121,169
4,鲁,98,9121,169
4,禄,98,9121,169
4,动,98,9121,169
4,弟,98,9121,169
4,社,98,9121,169
4,屯,98,9121,169
4,龙,100,7816,169
4,吏,100,7816,169
4,鲁,100,7816,169
4,禄,100,7816,169
4,动,100,7816,169
4,弟,100,7816,169
4,社,100,7816,169
4,屯,100,7816,169
4,龙,102,9261,169
4,吏,102,9261,169
4,鲁,102,9261,169
4,禄,102,9261,169
4,动,102,9261,169
4,弟,102,9261,169
4,社,102,9261,169
4,屯,102,9261,169
5,神,1,6208,331
5,肾,1,6208,331
5,物,1,6208,331
5,尾,1,6208,331
5,神,3,1577,331
5,肾,3,1577,331
5,物,3,1577,331
5,尾,3,1577,331
5,神,5,2588,331
5,肾,5,2588,331
5,物,5,2588,331
5,尾,5,2588,331
5,神,7,1934,331
5,肾,7,1934,331
5,物,7,1934,331
5,尾,7,1934,331
5,神,9,8621,331
5,肾,9,8621,331
5,物,9,8621,331
5,尾,9,8621,331
5,神,81,2869,331
5,肾,81,2869,331
5,物,81,2869,331
5,尾,81,2869,331
5,神,83,3078,331
5,肾,83,3078,331
5,物,83,3078,331
5,尾,83,3078,331
5,神,85,2125,331
5,肾,85,2125,331
5,物,85,2125,331
5,尾,85,2125,331
5,神,87,10770,331
5,肾,87,10770,331
5,物,87,10770,331
5,尾,87,10770,331
5,神,89,1480,331
5,肾,89,1480,331
5,物,89,1480,331
5,尾,89,1480,331
5,神,91,3092,331
5,肾,91,3092,331
5,物,91,3092,331
5,尾,91,3092,331
5,神,93,5021,331
5,肾,93,5021,331
5,物,93,5021,331
5,尾,93,5021,331
5,神,95,1959,331
5,肾,95,1959,331
5,物,95,1959,331
5,尾,95,1959,331
5,神,97,4828,331
5,肾,97,4828,331
5,物,97,4828,331
5,尾,97,4828,331
5,神,101,9118,331
5,肾,101,9118,331
5,物,101,9118,331
5,尾,101,9118,331
5,神,107,3238,331
5,肾,107,3238,331
5,物,107,3238,331
5,尾,107,3238,331
6,等,2,3039,817
6,亶,2,3039,817
6,旦,2,3039,817
6,刀,2,3039,817
6,西,2,3039,817
6,萨,2,3039,817
6,訾,2,3039,817
6,省,2,3039,817
6,等,4,8067,817
6,亶,4,8067,817
6,旦,4,8067,817
6,刀,4,8067,817
6,西,4,8067,817
6,萨,4,8067,817
6,訾,4,8067,817
6,省,4,8067,817
6,等,6,7691,817
6,亶,6,7691,817
6,旦,6,7691,817
6,刀,6,7691,817
6,西,6,7691,817
6,萨,6,7691,817
6,訾,6,7691,817
6,省,6,7691,817
6,等,8,7437,817
6,亶,8,7437,817
6,旦,8,7437,817
6,刀,8,7437,817
6,西,8,7437,817
6,萨,8,7437,817
6,訾,8,7437,817
6,省,8,7437,817
6,等,10,6937,817
6,亶,10,6937,817
6,旦,10,6937,817
6,刀,10,6937,817
6,西,10,6937,817
6,萨,10,6937,817
6,訾,10,6937,817
6,省,10,6937,817
6,等,82,8108,817
6,亶,82,8108,817
6,旦,82,8108,817
6,刀,82,8108,817
6,西,82,8108,817
6,萨,82,8108,817
6,訾,82,8108,817
6,省,82,8108,817
6,等,84,8342,817
6,亶,84,8342,817
6,旦,84,8342,817
6,刀,84,8342,817
6,西,84,8342,817
6,萨,84,8342,817
6,訾,84,8342,817
6,省,84,8342,817
6,等,86,10364,817
6,亶,86,10364,817
6,旦,86,10364,817
6,刀,86,10364,817
6,西,86,10364,817
6,萨,86,10364,817
6,訾,86,10364,817
6,省,86,10364,817
6,等,88,5669,817
6,亶,88,5669,817
6,旦,88,5669,817
6,刀,88,5669,817
6,西,88,5669,817
6,萨,88,5669,817
6,訾,88,5669,817
6,省,88,5669,817
6,等,90,10854,817
6,亶,90,10854,817
6,旦,90,10854,817
6,刀,90,10854,817
6,西,90,10854,817
6,萨,90,10854,817
6,訾,90,10854,817
6,省,90,10854,817
6,等,92,10654,817
6,亶,92,10654,817
6,旦,92,10654,817
6,刀,92,10654,817
6,西,92,10654,817
6,萨,92,10654,817
6,訾,92,10654,817
6,省,92,10654,817
6,等,94,8443,817
6,亶,94,8443,817
6,旦,94,8443,817
6,刀,94,8443,817
6,西,94,8443,817
6,萨,94,8443,817
6,訾,94,8443,817
6,省,94,8443,817
6,等,98,10919,817
6,亶,98,10919,817
6,旦,98,10919,817
6,刀,98,10919,817
6,西,98,10919,817
6,萨,98,10919,817
6,訾,98,10919,817
6,省,98,10919,817
1,福,11,893,162
2,方,11,1912,318
3,神,11,401,681
4,桃,11,82,968
5,滞,11,1978,177
6,粉,11,1980,474
7,问,11,3159,630
8,物,11,2863,849
9,忆,11,2319,351
10,召,11,2347,525
11,勿,11,3441,786
12,分,11,1238,992
13,肾,11,590,492
14,舌,11,2832,699
15,离,11,2990,873
16,务,11,4194,187
17,娼,11,4012,373
18,尾,11,4511,200
19,誓,11,6051,184
20,绍,11,3363,168
1,福,13,918,162
2,方,13,2267,318
3,神,13,453,681
4,桃,13,529,968
5,滞,13,2062,177
6,粉,13,2225,474
7,问,13,2511,630
8,物,13,898,849
9,忆,13,2495,351
10,召,13,2822,525
11,勿,13,2930,786
12,分,13,1593,992
13,肾,13,642,492
14,舌,13,2698,699
15,离,13,2947,873
16,务,13,4632,187
17,娼,13,5054,373
18,尾,13,1779,200
19,誓,13,4655,184
20,绍,13,3229,168
1,福,15,1452,162
2,方,15,2293,318
3,神,15,349,681
4,桃,15,1214,968
5,滞,15,2766,177
6,粉,15,2591,474
7,问,15,3285,630
8,物,15,1414,849
9,忆,15,3099,351
10,召,15,3247,525
11,勿,15,3331,786
12,分,15,1619,992
13,肾,15,538,492
14,舌,15,3725,699
15,离,15,3914,873
16,务,15,4339,187
17,娼,15,5294,373
18,尾,15,2900,200
19,誓,15,5014,184
20,绍,15,4256,168
1,福,17,986,162
2,方,17,1617,318
3,神,17,624,681
4,桃,17,154,968
5,滞,17,1947,177
6,粉,17,2003,474
7,问,17,2675,630
8,物,17,1496,849
9,忆,17,3230,351
10,召,17,3196,525
11,勿,17,3354,786
12,分,17,943,992
13,肾,17,813,492
14,舌,17,4149,699
15,离,17,4502,873
16,务,17,4171,187
17,娼,17,4840,373
18,尾,17,2962,200
19,誓,17,5870,184
20,绍,17,4680,168
1,福,19,927,162
2,方,19,908,318
3,神,19,817,681
4,桃,19,46,968
5,滞,19,2035,177
6,粉,19,2036,474
7,问,19,2807,630
8,物,19,1912,849
9,忆,19,2705,351
10,召,19,3544,525
11,勿,19,3732,786
12,分,19,234,992
13,肾,19,1006,492
14,舌,19,4109,699
15,离,19,4009,873
16,务,19,4894,187
17,娼,19,5793,373
18,尾,19,3513,200
19,誓,19,5341,184
20,绍,19,4640,168
1,福,21,1329,162
2,方,21,2456,318
3,神,21,392,681
4,桃,21,281,968
5,滞,21,1352,177
6,粉,21,2856,474
7,问,21,3423,630
8,物,21,1192,849
9,忆,21,2065,351
10,召,21,2704,525
11,勿,21,3709,786
12,分,21,1782,992
13,肾,21,581,492
14,舌,21,4222,699
15,离,21,4134,873
16,务,21,4859,187
17,娼,21,4673,373
18,尾,21,2801,200
19,誓,21,5105,184
20,绍,21,4753,168
1,福,23,7486,162
2,方,23,7692,318
3,神,23,6798,681
4,桃,23,6680,968
5,滞,23,7833,177
6,粉,23,678,474
7,问,23,1642,630
8,物,23,7115,849
9,忆,23,809,351
10,召,23,3031,525
11,勿,23,1733,786
12,分,23,7018,992
13,肾,23,6987,492
14,舌,23,3421,699
15,离,23,5281,873
16,务,23,2523,187
17,娼,23,2818,373
18,尾,23,5866,200
19,誓,23,6706,184
20,绍,23,3952,168
1,福,25,1406,162
2,方,25,1610,318
3,神,25,7177,681
4,桃,25,5179,968
5,滞,25,7610,177
6,粉,25,1628,474
7,问,25,2053,630
8,物,25,7664,849
9,忆,25,7765,351
10,召,25,8006,525
11,勿,25,2470,786
12,分,25,936,992
13,肾,25,7366,492
14,舌,25,10828,699
15,离,25,11185,873
16,务,25,3295,187
17,娼,25,3412,373
18,尾,25,11239,200
19,誓,25,12067,184
20,绍,25,11359,168
1,福,27,1158,162
2,方,27,2104,318
3,神,27,657,681
4,桃,27,458,968
5,滞,27,1829,177
6,粉,27,2700,474
7,问,27,2727,630
8,物,27,1257,849
9,忆,27,2928,351
10,召,27,3235,525
11,勿,27,2870,786
12,分,27,1430,992
13,肾,27,846,492
14,舌,27,3554,699
15,离,27,4252,873
16,务,27,3991,187
17,娼,27,3828,373
18,尾,27,2830,200
19,誓,27,5361,184
20,绍,27,4085,168
1,福,29,1375,162
2,方,29,1386,318
3,神,29,767,681
4,桃,29,259,968
5,滞,29,1859,177
6,粉,29,1521,474
7,问,29,1879,630
8,物,29,2148,849
9,忆,29,2931,351
10,召,29,2876,525
11,勿,29,2427,786
12,分,29,712,992
13,肾,29,956,492
14,舌,29,3533,699
15,离,29,4399,873
16,务,29,3699,187
17,娼,29,3868,373
18,尾,29,3843,200
19,誓,29,5200,184
20,绍,29,4064,168
1,福,31,1728,162
2,方,31,1996,318
3,神,31,1197,681
4,桃,31,229,968
5,滞,31,1110,177
6,粉,31,2656,474
7,问,31,4039,630
8,物,31,2890,849
9,忆,31,1038,351
10,召,31,1579,525
11,勿,31,3904,786
12,分,31,1322,992
13,肾,31,1386,492
14,舌,31,1497,699
15,离,31,2534,873
16,务,31,4693,187
17,娼,31,6723,373
18,尾,31,3940,200
19,誓,31,3829,184
20,绍,31,2028,168
1,福,33,944,162
2,方,33,1813,318
3,神,33,560,681
4,桃,33,397,968
5,滞,33,1500,177
6,粉,33,2742,474
7,问,33,2837,630
8,物,33,1212,849
9,忆,33,1764,351
10,召,33,1761,525
11,勿,33,3215,786
12,分,33,1139,992
13,肾,33,749,492
14,舌,33,5132,699
15,离,33,5066,873
16,务,33,3837,187
17,娼,33,3966,373
18,尾,33,3008,200
19,誓,33,5755,184
20,绍,33,5663,168
1,福,35,913,162
2,方,35,1122,318
3,神,35,4803,681
4,桃,35,55,968
5,滞,35,2051,177
6,粉,35,2902,474
7,问,35,2897,630
8,物,35,5883,849
9,忆,35,2017,351
10,召,35,2859,525
11,勿,35,3493,786
12,分,35,448,992
13,肾,35,4992,492
14,舌,35,3362,699
15,离,35,3921,873
16,务,35,4129,187
17,娼,35,5823,373
18,尾,35,6826,200
19,誓,35,4980,184
20,绍,35,3893,168
1,福,37,916,162
2,方,37,1239,318
3,神,37,611,681
4,桃,37,475,968
5,滞,37,1703,177
6,粉,37,1758,474
7,问,37,1871,630
8,物,37,1374,849
9,忆,37,1744,351
10,召,37,2202,525
11,勿,37,3251,786
12,分,37,565,992
13,肾,37,800,492
14,舌,37,2485,699
15,离,37,2413,873
16,务,37,3921,187
17,娼,37,1971,373
18,尾,37,3303,200
19,誓,37,5852,184
20,绍,37,2944,168
1,福,39,910,162
2,方,39,1115,318
3,神,39,981,681
4,桃,39,669,968
5,滞,39,2027,177
6,粉,39,1757,474
7,问,39,1697,630
8,物,39,1416,849
9,忆,39,2040,351
10,召,39,2507,525
11,勿,39,2719,786
12,分,39,441,992
13,肾,39,1170,492
14,舌,39,3524,699
15,离,39,4041,873
16,务,39,3788,187
17,娼,39,4001,373
18,尾,39,2820,200
19,誓,39,5292,184
20,绍,39,4055,168
1,动,12,8997,584
2,弟,12,8815,776
3,器,12,5243,398
4,等,12,6015,364
5,旦,12,5864,544
6,鲁,12,4695,931
7,屯,12,7648,200
8,玄,12,5743,794
9,亶,12,5816,724
10,訾,12,6772,904
11,吏,12,3894,816
12,社,12,7771,392
13,坷,12,5278,596
14,西,12,9125,177
15,刀,12,5754,654
16,禄,12,4136,745
17,龙,12,4151,559
18,和,12,6207,330
19,萨,12,11756,345
20,省,12,11667,513
1,动,14,6894,584
2,弟,14,7018,776
3,器,14,2499,398
4,等,14,5388,364
5,旦,14,5847,544
6,鲁,14,5812,931
7,屯,14,6666,200
8,玄,14,3322,794
9,亶,14,5955,724
10,訾,14,6482,904
11,吏,14,4854,816
12,社,14,6828,392
13,坷,14,2919,596
14,西,14,8278,177
15,刀,14,5737,654
16,禄,14,5204,745
17,龙,14,5111,559
18,和,14,3786,330
19,萨,14,9023,345
20,省,14,8916,513
1,动,16,7083,584
2,弟,16,8141,776
3,器,16,5321,398
4,等,16,5826,364
5,旦,16,5407,544
6,鲁,16,5179,931
7,屯,16,7167,200
8,玄,16,6218,794
9,亶,16,5954,724
10,訾,16,6948,904
11,吏,16,5065,816
12,社,16,7145,392
13,坷,16,5614,596
14,西,16,8060,177
15,刀,16,5297,654
16,禄,16,5162,745
17,龙,16,5322,559
18,和,16,6682,330
19,萨,16,7964,345
20,省,16,8503,513
1,动,18,9128,584
2,弟,18,9631,776
3,器,18,3095,398
4,等,18,6258,364
5,旦,18,8482,544
6,鲁,18,6852,931
7,屯,18,8177,200
8,玄,18,4699,794
9,亶,18,9427,724
10,訾,18,9756,904
11,吏,18,343,816
12,社,18,8467,392
13,坷,18,3722,596
14,西,18,11841,177
15,刀,18,8372,654
16,禄,18,6314,745
17,龙,18,600,559
18,和,18,5163,330
19,萨,18,6519,345
20,省,18,11727,513
1,动,20,8806,584
2,弟,20,9641,776
3,器,20,3329,398
4,等,20,5796,364
5,旦,20,6584,544
6,鲁,20,7101,931
7,屯,20,8112,200
8,玄,20,8276,794
9,亶,20,7024,724
10,訾,20,7358,904
11,吏,20,6375,816
12,社,20,8789,392
13,坷,20,7728,596
14,西,20,8330,177
15,刀,20,6474,654
16,禄,20,6619,745
17,龙,20,6632,559
18,和,20,8740,330
19,萨,20,8731,345
20,省,20,9530,513
1,动,22,5855,584
2,弟,22,6179,776
3,器,22,3618,398
4,等,22,5310,364
5,旦,22,5431,544
6,鲁,22,5325,931
7,屯,22,6239,200
8,玄,22,5448,794
9,亶,22,5380,724
10,訾,22,5389,904
11,吏,22,4808,816
12,社,22,6563,392
13,坷,22,4518,596
14,西,22,6776,177
15,刀,22,5321,654
16,禄,22,5059,745
17,龙,22,5065,559
18,和,22,4082,330
19,萨,22,6897,345
20,省,22,9538,513
1,动,24,5562,584
2,弟,24,7166,776
3,器,24,8942,398
4,等,24,6780,364
5,旦,24,6883,544
6,鲁,24,3334,931
7,屯,24,4423,200
8,玄,24,11222,794
9,亶,24,7688,724
10,訾,24,8152,904
11,吏,24,2404,816
12,社,24,4735,392
13,坷,24,10696,596
14,西,24,9292,177
15,刀,24,6773,654
16,禄,24,3423,745
17,龙,24,2661,559
18,和,24,9406,330
19,萨,24,11703,345
20,省,24,11708,513
1,动,26,5450,584
2,弟,26,7400,776
3,器,26,3257,398
4,等,26,2373,364
5,旦,26,2731,544
6,鲁,26,4016,931
7,屯,26,5139,200
8,玄,26,5194,794
9,亶,26,3308,724
10,訾,26,4248,904
11,吏,26,3356,816
12,社,26,5493,392
13,坷,26,3479,596
14,西,26,5976,177
15,刀,26,2621,654
16,禄,26,3874,745
17,龙,26,2613,559
18,和,26,3721,330
19,萨,26,6693,345
20,省,26,7129,513
1,动,28,7301,584
2,弟,28,7253,776
3,器,28,5156,398
4,等,28,5522,364
5,旦,28,5359,544
6,鲁,28,6066,931
7,屯,28,7219,200
8,玄,28,5330,794
9,亶,28,5364,724
10,訾,28,5912,904
11,吏,28,4475,816
12,社,28,7022,392
13,坷,28,3633,596
14,西,28,6715,177
15,刀,28,5249,654
16,禄,28,5493,745
17,龙,28,4732,559
18,和,28,5554,330
19,萨,28,6553,345
20,省,28,6886,513
1,动,30,6181,584
2,弟,30,6430,776
3,器,30,5202,398
4,等,30,5263,364
5,旦,30,5296,544
6,鲁,30,4531,931
7,屯,30,5598,200
8,玄,30,7261,794
9,亶,30,5551,724
10,訾,30,5758,904
11,吏,30,3951,816
12,社,30,5739,392
13,坷,30,6578,596
14,西,30,6834,177
15,刀,30,5186,654
16,禄,30,4405,745
17,龙,30,4208,559
18,和,30,5666,330
19,萨,30,7399,345
20,省,30,7690,513
1,动,32,4923,584
2,弟,32,5268,776
3,器,32,4998,398
4,等,32,4561,364
5,旦,32,4710,544
6,鲁,32,10406,931
7,屯,32,4680,200
8,玄,32,6470,794
9,亶,32,5173,724
10,訾,32,5467,904
11,吏,32,7557,816
12,社,32,4651,392
13,坷,32,5416,596
14,西,32,6957,177
15,刀,32,4600,654
16,禄,32,8395,745
17,龙,32,7814,559
18,和,32,5462,330
19,萨,32,6831,345
20,省,32,8360,513
1,动,34,7679,584
2,弟,34,7956,776
3,器,34,3845,398
4,等,34,5588,364
5,旦,34,6801,544
6,鲁,34,6366,931
7,屯,34,7678,200
8,玄,34,5892,794
9,亶,34,6966,724
10,訾,34,7131,904
11,吏,34,3828,816
12,社,34,11186,392
13,坷,34,4483,596
14,西,34,8743,177
15,刀,34,6691,654
16,禄,34,4488,745
17,龙,34,4085,559
18,和,34,4309,330
19,萨,34,8562,345
20,省,34,8429,513
1,动,36,3859,584
2,弟,36,9444,776
3,器,36,6979,398
4,等,36,5064,364
5,旦,36,6057,544
6,鲁,36,6931,931
7,屯,36,8421,200
8,玄,36,8011,794
9,亶,36,6387,724
10,訾,36,6268,904
11,吏,36,5969,816
12,社,36,10166,392
13,坷,36,7913,596
14,西,36,7089,177
15,刀,36,5947,654
16,禄,36,6528,745
17,龙,36,6226,559
18,和,36,7443,330
19,萨,36,8160,345
20,省,36,8617,513
1,动,38,6060,584
2,弟,38,7200,776
3,器,38,3686,398
4,等,38,5695,364
5,旦,38,5624,544
6,鲁,38,3762,931
7,屯,38,4706,200
8,玄,38,4473,794
9,亶,38,5589,724
10,訾,38,5742,904
11,吏,38,2599,816
12,社,38,4778,392
13,坷,38,4490,596
14,西,38,7125,177
15,刀,38,5514,654
16,禄,38,3421,745
17,龙,38,2856,559
