Ê®¶þ±ÙØÔ,»ùÊý,³õ¿ÌÉúÈËÏÈÌìÃüÊý,Õý¿ÌÉúÈËÏÈÌìÃüÊý,ÐòÊý,ÐÔ¸ñ,²ÅÄÜÇ°³Ì,²ÆÔË,ÐÖµÜ¸öÊý
´ó×³,440,8,2,430,"7449
926",3829,5147,6444
´ó×³,440,12,6,440,"11414
3654",4555,1407,6434
´ó×³,440,1,7,480,"102
8054",1372,1833,7074
´ó×³,440,3,9,430,6793,2043,4350,675
´ó×³,440,4,10,440,"7708
6742",11000,9765,6521
‰ø,450,6,12,350,"1742
3353",¡Á,4184,7173
‰ø,450,8,2,360,"11883
986","2103
9196",4174,2433
‰ø,450,3,9,370,9276,"2778
11516",5223,6969
‰ø,450,11,5,380,"3704
7489",1350,3050,688
‰ø,450,7,1,390,4683,1452,5744,"6949
7154"
‰ø,450,10,4,400,"5324
9562","2377
7312","1903
6873",6464
‰ø,450,1,7,420,"3132
5695",2043,7490,3000
‰ø,450,5,11,460,"112
1281",3817,4074,608
‰ø,450,9,3,470,"3476
8840",1723,1367,6869
‰ø,450,12,6,480,"92
6057",8572,4054,"7043
6813"
‰ø,450,2,8,420,"7310
11823",2043,4114,689
‰ø,450,4,10,440,"5284
9522","2337
7272",1917,2400
Ç¬,460,7,1,350,"11484
6678",7336,6913,6979
Ç¬,460,9,3,360,"1722
2839",5645,5303,7262
Ç¬,460,4,10,370,1923,2816,4154,729
Ç¬,460,12,6,380,10307,1913,¡Á,6819
Ç¬,460,8,2,390,5715,"654
1793",4359,"6939
7144"
Ç¬,460,11,5,400,493,7035,3020,7087
Ç¬,460,6,12,430,"9576
11803","6705
11309",¡Á,8511
Ç¬,460,10,4,440,"453
6763",4535,2051,659
Ç¬,460,1,7,410,874,1453,9495,7212
Ç¬,460,2,8,420,8880,"624
1763",5760,6863
Ç¬,460,3,9,430,"4803
8084",5575,5233,609
Ç¬,460,5,11,450,443,"2317
6985",2970,798
Š¥,470,8,2,350,"976
3333",8617,4389,6581
Š¥,470,10,4,360,"3704
7451",11629,9815,2460
Š¥,470,5,11,370,7306,"1803
8144",9545,6819
Š¥,470,1,7,380,6137,11546,2101,4646
Š¥,470,9,3,390,7421,4961,9746,"639
699"
Š¥,470,12,6,400,11010,6651,"7733
1971",¡Á
Š¥,470,11,5,420,"8506
8870",7005,5226,6769
Š¥,470,6,12,450,"815
9544",6655,"1921
7683",2323
Š¥,470,3,9,460,"876
6558",6281,1877,6729
Š¥,470,7,1,470,"1563
5651",9415,5111,6849
Š¥,470,2,8,420,"3254
906",8547,4319,2353
Š¥,470,4,10,440,7409,851,1897,7037
¶Ý,480,9,3,350,"6271
11713",1526,9776,2413
¶Ý,480,11,5,360,"9572
7441",10598,11355,659
¶Ý,480,6,12,370,7738,"5581
9485
10898",9515,6939
¶Ý,480,2,8,380,3142,2833,1893,6541
¶Ý,480,10,4,390,"867
483",4124,7733,"2420
7103"
¶Ý,480,1,7,400,"857
11593",9365,"1873
9765",6434
¶Ý,480,7,1,410,"7227
7472",8770,"9716
1863",6424
¶Ý,480,4,10,430,9554,"1935
11657",7693,6749
¶Ý,480,8,2,440,"7399
6568",6504,9465,6739
¶Ý,480,5,11,450,"11435
9482",7282,1877,6859
¶Ý,480,12,6,400,7708,10868,9726,2363
¶Ý,480,3,9,430,"11633
1632",1446,5206,6154
·ñ,490,10,4,350,956,¡Á,1913,6209
·ñ,490,12,6,360,11555,"3976
10588",315,6809
·ñ,490,7,1,370,11459,4963,5256,2430
·ñ,490,3,9,380,11823,11466,2081,6444
·ñ,490,11,5,390,"142
266",5981,9505,6521
·ñ,490,2,8,400,11475,5161,5161,7083
·ñ,490,6,12,410,"7217
7462","1287
2327
4094",4309,2390
·ñ,490,9,3,420,"5655
6095","6665
6910",4074,6749
·ñ,490,4,10,450,"6161
10940","2940
6593",1347,7033
·ñ,490,1,7,460,"1241
10197",1325,5634,2293
·ñ,490,5,11,470,"393
8800",¡Á,9685,6829
·ñ,490,8,2,480,"3564
6518",1322,5073,6431
¹Û,500,11,5,350,"6251
3402",¡Á,5193,2393
¹Û,500,1,7,360,10199,¡Á,1893,"848
658"
¹Û,500,8,2,370,9594,"4565
11329",5147,2420
¹Û,500,4,10,380,"7708
6742",11000,"1961
7723","6521
7093"
¹Û,500,12,6,390,"4633
6732","614
2267
6095",10864,6769
¹Û,500,3,9,400,6763,2013,5151,6889
¹Û,500,5,11,410,10149,1619,9475,2333
¹Û,500,2,8,430,"866
7389",3769,5087,7043
¹Û,500,6,12,440,"9472
3594",4495,1347,¡Á
¹Û,500,7,1,480,"42
262",1312,11215,2310
¹Û,500,9,3,370,926,2043,4350,6456
¹Û,500,10,4,380,6742,11000,5760,6521
°þ,510,12,6,350,"884
6628",¡Á,4124,7113
°þ,510,2,8,360,"11823
7310","2043
9136",4114,2373
°þ,510,9,3,370,9216,"11456
2718",5163,6909
°þ,510,5,11,380,"7429
8084",1290,2990,628
°þ,510,1,7,390,4623,1392,10854,"7094
6889"
°þ,510,4,10,400,"5264
9502","2317
7252","1843
9455",7112
°þ,510,7,1,420,"3072
5635",1983,7430,2042
°þ,510,11,5,460,"52
1221",3753,10511,548
°þ,510,3,9,470,"3416
6025",1663,5063,6809
°þ,510,6,12,480,7037,8512,3994,6983
°þ,510,8,2,360,926,"2043
9136",4114,6059
°þ,510,10,4,380,"9522
5284",7272,1917,2400
À¤,520,1,7,350,874,1453,9495,6919
À¤,520,3,9,360,"4813
8094",5585,5243,619
À¤,520,10,4,370,1863,2756,4094,669
À¤,520,6,12,380,10247,1853,¡Á,6501
À¤,520,2,8,390,8850,"594
1733",4299,6833
À¤,520,5,11,400,433,"6975
2307",2960,2950
À¤,520,12,6,430,"846
9516","11249
6645",¡Á,6709
À¤,520,4,10,440,"11334
11733",4475,1631,599
À¤,520,7,1,350,"6618
11424",7276,6853,7212
À¤,520,8,2,360,5685,"624
1763",5121,"7114
6909"
À¤,520,9,3,370,"2769
1652",5575,5233,7192
À¤,520,11,5,390,443,2317,2970,7192
