集,条文数,年龄,吉凶断词
子集,1090,47，48,流年顾利，何事可为。
子集,1091,43，44,时哉时哉，力图大用。
子集,1092,,耿介独立，名之曰辟。
子集,1093,75，76,平安二字，亨用之时。
子集,1094,64,泰山秃梁木，坏天丧斯文。
子集,1095,59，60,吉人偕同行，牵引无颠陷。
子集,1096,73，74,光天化日，可以勇为。
子集,1097,65，66,大道乐尧天，天佑吉利人。
子集,1098,77,恶曜攻身，须防危险。
子集,1099,,倜倘之才，终须小试。
子集,1100,59，60,人事如愿囊中有，余钱仓中有余粟。
子集,1101,,临渊羡鱼，不如退而结网。
子集,1102,,五彩绳牵月老话，画眉京兆许张郎。
子集,1103,20,奔走重山，生计他乡可兴发。
子集,1104,,架上有书堪教子，囊中无物不生财。
子集,1105,55，56,只令统指犹未得；相安无事。
子集,1106,35，36,春色侵入，韶光明媚。
子集,1107,37，38,险象横生，大难不死。
子集,1108,29，30,颠沛无常，见闻多闷。
子集,1109,67，68,六十有七，不觉文星殒矣。
子集,1110,87,数定按台宫，至临察御史。
子集,1111,23,如履虎尾，翼翼小心。
子集,1112,,金匮相扶，喜气频频而至。
子集,1113,41，42,大理为九寺之职，守三章约法之重。
子集,1114,53，54,斯年四个宇，自在安乐。
子集,1115,57，58,关山函谷鸡鸣早，冯缓西秦贺孟堂。
子集,1116,,妻生二子，妾亦如之。
子集,1117,23，24,见机而作，可以无患。
子集,1118,21，22,江边风雨滩头急，钓得鱼来失却钩。
子集,1119,61,绿暗红稀春色老，即随流水去不归。
子集,1120,,金章颁北阙，广棘寺深思。
子集,1121,17，18,斯年就有，孝服之忧。
子集,1122,,妻生二子，妾生二儿。
子集,1123,49，50,子陵钓于富春江，悠然自得。
子集,1124,57，58,六阴之象，事不安宁。
子集,1125,29，30,云连山径，树色模糊。
子集,1126,20,父死之年，人子不幸。
子集,1127,,数有偏祜，妻生翳目。
子集,1128,45，46,数定明刑宫，至大理寺卿副省级）。
子集,1129,49，50,鸟得其所，饮啄自如。
子集,1130,,中秋月色，分外光明。
子集,1131,55，56,知己论心解，我心傲重喜。
子集,1132,43，44,马遇康庄，可以驰驱。
子集,1133,,命带暗疾，一目不明。
子集,1134,13，14,鸦鹊同行，吉凶自分。
子集,1135,37，38,微雨洒暗天，正恼人时候。
子集,1136,63，64,谢安选胜东山，终日饮酒。
子集,1137,,妻生二子，妾生一儿。
子集,1138,69，70,玉洞桃花，锦绣炫目。
子集,1139,,无兄只一弟，庶母而生。
子集,1140,23，24,风散云收，月色千里。
子集,1141,49，50,逆旅穷途，得一知己喜洋洋。
子集,1142,21，22,门中交争，分明破财。
子集,1143,56,未能长驱，车脱其轮。
子集,1144,33，34,日落西沉，人在暗中行。
子集,1145,39，40,走过他乡，茫然无处归宿。
子集,1146,,为人多性良，一生无大患。
子集,1147,,圣武恢张四海安，皇恩远庇九州庆。
子集,1148,17，18,青春柳眼眉，春光美十分。
子集,1149,57,幸得室家欢聚，阴阳有鬼主刑妻。
子集,1150,63，64,夕阳西下，一片彩霞。
子集,1151,,生涯惟有几行书，常伴青毡度岁时。
子集,1152,25，26,好运正当兴，玉出荆山色自明。
子集,1153,57，58,财源恩星，从此而曜。
子集,1154,41，42,事积如麻，且招其祸。
子集,1155,51，52,丰年穰穰，衣食饶裕。
子集,1156,,不山不水问渔樵，踪迹无常谓子虚。
子集,1157,35，36,阳春布暖，天气晴明。
子集,1158,81，82,日昃之离，鼓缶而歌。
子集,1159,33，34,美玉无瑕玷，晴天细雨飞。
子集,1160,23，24,南楼花影度栏杆，寂寞柴门夜色寒。
子集,1161,,托祖宗庇护，甘心守法律。
子集,1162,27，28,蔽日烟尘，行道塞滞。
子集,1163,19，20,盘根错节之时，坚持利器。
子集,1164,55，56,东西南北，处处有逢迎。
子集,1165,51，52,小小经营成家富，微微立业创成基。
子集,1166,,有正已格物之风，笃人臣事君之义。
子集,1167,35，36,花发上林，锦乡夺目。
子集,1168,41，42,披剪荆棘，为力之难。
子集,1169,45，46,谋定无忧，贵人点头。
子集,1170,58,耳顺欠二年，椿庭入黄泉。
子集,1171,52,蓝关雪拥，马不能前。
子集,1172,57，58,寒窗飞暗雨，万事系人怀。
子集,1173,37，38,鸟栖于树，绿阴正长。
子集,1174,3940,尘封宝镜，晦滞之中应有份。
子集,1175,26,杨花滚雪，北国风光。
子集,1176,31,江州司马多情，青衫泪湿沾衣。
子集,1177,53，54,无意之中得意，有意之中失意。
子集,1178,51，52,小往大来，诸吉悉至。
子集,1179,,眼目不明，前生所定。
子集,1180,53，54,波纹初定，微风水面劲吹来。
子集,1181,27，28,福兮祸所倚，祸兮福所伏。
子集,1182,59，60,灾星相侵，大小不宁。
子集,1183,57,进之未安，退之不可。
子集,1184,33，34,时有寒冷，坚冰未解。
子集,1185,33，34,一叶扁舟载明月，芦花两岸水盈盈。
子集,1186,41，42,内有明谋，幸得贵人解脱。
子集,1187,41，42,扫净风烟光会见，无名带励栋梁材。
子集,1188,63，64,鱼游春水，洋洋而纵。
子集,1189,17,母赴瑶池，三年泣血。
子集,1190,59，60,薏苡被谤，可以思瑕。
子集,1191,39，40,舍近求远，劳而无功。
子集,1192,11，12,人面春风，融融乐意。
子集,1193,69，70,太白饮窗下，快乐自足意。
子集,1194,,兄弟三人，同父不同母。
子集,1195,19，20,国学名成，光耀其身。
子集,1196,31,国学荣身，见于此年。
子集,1197,22,海棠初带雨，红泪点栏杆。
子集,1198,25,门前榆柳已成蹊，绿映王孙衬马蹄。
子集,1199,14,丧门相照，防有哭泣之哀。
子集,1200,,田宅竟相争，兄弟转成仇。
子集,1201,79，80,春水乐流，付之往事。
子集,1202,31,杏花深处里，折取一枝来。
子集,1203,48,此岁相亲遇贵人，北山猿笑易成人。
子集,1204,79,幸得贤郎成鼎志，晚来亨福乐余年。
子集,1205,25,柳絮初晴，珠帘点雪。
子集,1206,77，78,作事漫停，重云蔽日闷沉沉。
子集,1207,,双生之子，一死一生。
子集,1208,31，32,衣食最艰辛，生涯猛浪度青春。
子集,1209,,福履绥之，子孙昌吉。
子集,1210,23，24,和风日暖，俄然风起雷声。
子集,1211,29，30,鬼伏床头，飞灾相触。
子集,1212,,一生维绍福且隆，安然享福保其终。
子集,1213,18，19,路旁梅花，杨妃之美。
子集,1214,67，68,南山松柏，岁寒之赠。
子集,1215,27，28,太阳东升，阴气渐消。
子集,1216,49，50,病符相照，势如黄叶迎风。
子集,1217,50,赤兔黑鸟，室家有忌。
子集,1218,47，48,忠厚待人，人偏相侮。
子集,1219,,一生近贵，名利皆有。
子集,1220,20,数该生子。
子集,1221,13，14,壮志步青云，幼年为寒士。
子集,1222,21,行到此年，数已尽矣。
子集,1223,59，60,幽闲无事纳祯祥，几朵梅花扑鼻香。
子集,1224,,知君寿数高，一百还有余。
子集,1225,27，28,喜之未安，忧之又随。
子集,1226,19，20,福自天来事，为求而自合。
子集,1227,29,掘井九轫，而不及泉。
子集,1228,,立世刚而好古，一言逆而不容。
子集,1229,27，28,临风回首，揽辔三叹。
子集,1230,55，56,凶神夹党，居安思危。
子集,1231,47，48,行走有力，凿路可通。
子集,1232,,湘江雁阵，一只先投入网。
子集,1233,65，66,杨柳渐逢春色暖，松柏不怕雪霜寒。
子集,1234,,辛苦经商，途中遇雨贵人扶。
子集,1235,31，32,六害三刑命相触，头男长女须防哭。
子集,1236,15，16,少年吉利，中途蹉跎。
子集,1237,51,莫游盘盂中，不正自苟合。
子集,1238,,兄在东，弟在西。
子集,1239,35，36,流年顺境，家室胥庆。
子集,1240,47，48,一周无过，流年顺遂。
子集,1241,33，34,月照楼台，怡时行乐。
子集,1242,,临事慷慨，喜气融和。
子集,1243,23，24,行迈靡靡，载驰载驱。
子集,1244,,三党情疏，六亲意绝。
子集,1245,85，86,黄花开遍，晚节有荣。
子集,1246,,走遍他乡，难逢知己。
子集,1247,13，14,春风入户，棠梨上苔。
子集,1248,51，52,丰年可乐业，穗足断无忧。
子集,1249,21,枕席之畔，不测哭来。
子集,1250,,湘江雁阵，二只先伤。
子集,1251,49，50,四子送老，皆庶所出。
子集,1252,37,贵人指引在重山，重山之外得黄金。
子集,1253,,湘江雁阵，三只先伤。
子集,1254,,生涯半世一虚名，奔走徒劳费精神。
子集,1255,47，48,别境鸟啼，益我岑寂。
子集,1256,51，52,腐草之余，复荣之茂。
子集,1257,,湘江雁阵，四只先伤。
子集,1258,69，70,抱子挈足，优游而多福。
子集,1259,31，32,其子再来相遇，直遭横祸。
子集,1260,53，54,授任之年。
子集,1261,57，58,催官星拱照，恩自九重来。
子集,1262,23，24,其年运自亨，雨润春花见清明。
子集,1263,69,老年生子，人之大幸。
子集,1264,59，60,拥炉围火，暖气熏人。
子集,1265,,此年灾祸，艰难又忧心。
子集,1266,,乾龙伟度，奎壁奇姿。
子集,1267,29，30,悲似喜，喜似悲。
子集,1268,85，86,寒暖无常，留心动静。
子集,1269,,勿以有女见嫌，数中原无子息。
子集,1270,,梦之未醒，尚在颠倒他乡。
子集,1271,26，27,一阳初动，梅花几点绽寒头。
子集,1272,29，30,人事称心，图谋得合。
子集,1273,57,乡科及第。
子集,1274,27，28,荣身之年。
子集,1275,,汉子于无声，君子展大成。
子集,1276,,湘江雁阵，五只先伤。
子集,1277,31，32,贯索相寻，是非有日。
子集,1278,65,谋事得合。
子集,1279,,反被小利相缠，终身不得扬眉。
子集,1280,53，54,点灯当中，以抓其烟。
子集,1281,,生不逢时，壮士几经挫折。
子集,1282,40,陆地行舟，枉费心机。
子集,1283,,一生几成几败，幸余筋骨。
子集,1284,56,大数已停，一樽美酒送行程。
子集,1285,,五更鸡鸣早，姓字达天聪。
子集,1286,55，56,涸泽鲋鱼，涵咏升斗之水。
子集,1287,31，32,室中伏火猪，噬鼠而能焰。
子集,1288,31，32,千里之才，终朝一遇。
子集,1289,45，46,淡然守固，不以得失动心。
子集,1290,,和悦处众，内外皆称。
子集,1291,61,流年不宁，父死泪沾襟。
子集,1292,37,高山虎威，君子得志之时。
子集,1293,45，46,斯年灾星难免，幸得阴功可保。
子集,1294,33，34,白玉投于泥沙，未得圭璋之选。
子集,1295,69，70,浮云到此，其光渐掩。
子集,1296,49，50,仕途恐有变，举止当谨慎。
子集,1297,,能酒能诗兴最谊，将来事业付儿曹。
子集,1298,,狼狈一生，名利无成。
子集,1299,67,事业重关锁，进退两无可。
子集,1300,,虽得祖业，中途消耗。
子集,1301,71,数该生子，天赐老人。
子集,1302,,奴仆成行，前生所生。
子集,1303,41，42,其年该破财，官非口舌逼人来。
子集,1304,,非儒又非吏，浪迹为活计。
子集,1305,17，18,恁高之外有惊恐，得个贵人来指导。
子集,1306,23，24,山风转过，尚有岐途。
子集,1307,23，24,踪迹莫蹉跎，攸往可如非。
子集,1308,,奴婢成行，其人有缘。
子集,1309,,贵人提挈，必成大器。
子集,1310,23,孝服之忧，阖门哭也。
子集,1311,,身入宫门，可以谋食。
子集,1312,39，40,朝东暮西，年来辛苦强支持。
子集,1313,,老于鸡夜下，白手费吟哦。
子集,1314,49,仕途变幻，流年不宁。
子集,1315,79，80,数有五子，送老一枝。
子集,1316,,学多成少，心杂不一。
子集,1317,36，37,大运转生，福来无地。
子集,1318,,傍贵成家，触贵祸侵。
子集,1319,43，44,病符相照，切忌淫灾。
子集,1320,27，28,阳和美景，春色逼人。
子集,1321,35，36,到处交情容易报，春风车马易追求。
子集,1322,,不为梁上君子，定做牖下小人
子集,1323,47，48,智术能巧，弄巧反成拙。
子集,1324,49，50,羞涩一文钱，巴巴结结度流年。
子集,1325,37，38,文运亨通，其人锦程。
子集,1326,,人情好合，偏于疏处得相亲。
子集,1327,47，48,踪迹若浮萍，动止总无定。
子集,1328,,财星到命，数注成家皆兴隆。
子集,1329,55，56,一片江帆，千里暮云。
子集,1330,4，5,四岁有灾，饮食慎重。
子集,1331,,终身飘荡恨无家，牛背羊头日转斜。
子集,1332,35，36,花开不结子，风雨又相催。
子集,1333,31，32,生不逢时何所为，进退艰难多徘徊。
子集,1334,,动辄有诽谤，不合于斯世。
子集,1335,25，26,天生聪明，过目不忘。
子集,1336,50，51,文章观上国，应知帝座彻金莲。
子集,1337,,从政孚民，万姓讴歌。
子集,1338,27，28,一妻一妾又一妻，三度见佳期。
子集,1339,,根基无定，早年风卷杨花。
子集,1340,47，48,慎之慎之，是非难免。
子集,1341,20,禹门雷风动，波浪起龙吟。
子集,1342,63，64,一点灯花报喜来，游人骑马到阳台。
子集,1343,51，52,紫微星照，特开敕命之荣。
子集,1344,,头面有亏，前生孽报。
子集,1345,90,血刃交回，脓疮之灾。
子集,1346,87，88,云破月生光，还被云遮掩。
子集,1347,55，56,凶神相见欺，吉神相扶持。
子集,1348,,贵显高门，祖宗遗阴。
子集,1349,29，30,花将开时雨，水炉纵荣而不茂。
子集,1350,55，56,名进黉门，半甘半苦度平生。
子集,1351,,名进黉门，半甘半苦于乡井。
子集,1352,,积多金于子孙，不如积德以延寿。
子集,1353,39，40,深谋远虑，多作敢为。
子集,1354,,早丧严慈可奈何，蓼莪三复泪滂沱。
子集,1355,49,天地罗网，切忌横飞之灾。
子集,1356,,历尽辛苦，六亲骨肉总无缘。
子集,1357,58,龙吟虎啸，大魁天下。
子集,1358,47，48,暮否朝泰，生计无恁。
子集,1359,17，18,庭前芳草正萋萋，一夜风霜花色萎。
子集,1360,,功名蹭蹬，见犬吐气。
子集,1361,39,半夜残灯，鬼怪现形。
子集,1362,1,一周二岁有关津，病晦相侵有一惊。
子集,1363,27，28,桃子争妍，春风峭寒。
子集,1364,62,风折椿枝，三年泣血。
子集,1365,33，34,秦楚不和，兵连祸结。
子集,1366,41,乡科及第。
子集,1367,52,周道如砥可，无争挫之虞。
子集,1368,68,深山大泽有伏蛇，吩咐行人心仔细。
子集,1369,,终身奔驰，财源耗去。
子集,1370,35，36,鸡鸣山谷，接踵高飞。
子集,1371,,不作生涯不耕田，还从笔里度流年。
子集,1372,31,花际阳春争秀色，人逢美景益精神。
子集,1373,55，56,际遇蹉跎莫问天，还从笔里度流年。
子集,1374,37，38,薏茨被谤，不可不退。
子集,1375,24,三春柳絮，风惨西堂。
子集,1376,59，60,一步一回头，恐有差错事。
子集,1377,,命有三子，得以送终。
子集,1378,57，58,家室未有安，两眉正交操。
子集,1379,27，28,祸患不可测，不但人嗔且有鬼。
子集,1380,,妻早子早，人生最妙。
子集,1381,75，76,客阻关山，寂莫风雨。
子集,1382,,水年招妻，前生注定。
子集,1383,102,世上难逢百岁人，如今在岁有二春。
子集,1384,,雁阵同飞，突然失去五只。
子集,1385,65，66,囊中有物宜收拾，暗有群邪合伴谋。
子集,1386,18,人事缓相求，黄河水逆流。
子集,1387,57，58,月转西边五更天，子规啼处不堪闻。
子集,1388,,巩上下两江锁钥，奠东南半壁金汤。
子集,1389,41，42,人事纷纷，鹊噪鸦呜。
子集,1390,17，18,晓烟遮柳，远近瞑朦。
子集,1391,,真假六子，四子送老。
子集,1392,,疾风暴雨，倾墙及室。
子集,1393,,真假五子，三子送老。
子集,1394,63，64,劳劳碌碌流年，已得安闲日又偏。
子集,1395,43，44,山坡曲径处，到处有人家。
子集,1396,35，36,南山风雨过，烦热消除爽气来。
子集,1397,31，32,眉头交蹙，心事不足。
子集,1398,,以贡授职，荣禄高迁。
子集,1399,,数定三分贵，恩奉九重来。
子集,1400,,长途踯躅，朝入燕来暮入秦。
子集,1401,47，48,一村又一村，前村未有可停骖。
子集,1402,35，36,灾星相侵，门庭闹乱。
子集,1403,25，26,筑之东墙，倾之西壁。
子集,1404,,数有偏枯，妻目不明。
子集,1405,33，34,思患预防，乃克有济。
子集,1406,53，54,买臣贡薪而行歌，其才干未可试着。
子集,1407,23，24,水穷之处，坐看云生。
子集,1408,47，48,太仓之粟，鼠雀耗之。
子集,1409,21，22,不入泮林，定列辟雍。
子集,1410,27，28,科名显达，定列文扬。
子集,1411,39，40,官非相侵，闭户难禁。
子集,1412,55，56,五湖水顺流，水顺好行舟。
子集,1413,47，48,财帛陡发，勃不可遏。
子集,1414,65，66,一门和气霭阳春，祥光拱户几色云。
子集,1415,42,数该生子。
子集,1416,,妇性仁慈，助夫益子。
子集,1417,87，88,粪土之墙强涂朱，外面光华内里腐。
子集,1418,63，64,少乐多忧，长处不足。
子集,1419,41，42,祸患逼人，幸人解神。
子集,1420,85，86,桑榆晚景，常享安舒。
子集,1421,28,一举冠群英，名著当今殊。
子集,1422,40,聚散无常，浮云飘荡。
子集,1423,77，78,栏翠金钗十二行，金田良土福无疆。
子集,1424,,徒弟二人，一人送老。
子集,1425,63，64,沟渠淤港，冲起流通。
子集,1426,27，28,梅花几片苦为情，梦断孤山起土魂。
子集,1427,53，54,入于幽谷，进而倍暗。
子集,1428,28,牡丹正当好时节，鹿鸣宴上又簪花。
子集,1429,,傲物气高，顺下逆上。
子集,1430,52,数该生子。
子集,1431,89，90,黄菊东篱正色芳，俄然二朵层秋霜。
子集,1432,,晨昏相伴休中道，乐得清闲一位禅。
子集,1433,39，40,枯雨得雨，勃然而兴。
子集,1434,70,古稀荣任，天发善人。
子集,1435,49，50,七里滩头一钓翁，几经苦雨几经风。
子集,1436,11，12,荷叶荡荡圆，圆后碎复圆
子集,1437,,妻子皆早，人生大幸。
子集,1438,57，58,功允不退，被之戮辱。
子集,1439,49，50,舟在中流，帆桅顺风转悠悠。
子集,1440,35，36,好梦初醒，报喜报晴。
子集,1441,,其人之亡，定在三月。
子集,1442,47，48,子规啼血楼，头鼓打三更。
子集,1443,37，38,谋事乖离，东转西驰。
子集,1444,,兄弟十人，数有五贵。
子集,1445,65，66,一轮红日下西山，远出主人尚未还。
子集,1446,49，50,马首载辔，驰骤千里。
子集,1447,27，28,杨花成阵阵，点点着人衣。
子集,1448,29,明月转东楼，朱衣暗点头。
子集,1449,75，76,崎岖已应历，今已见亨通。
子集,1450,55，56,千里暮云路，迢迢莫问津。
子集,1451,50,好花枝落，结子篱边。
子集,1452,5,命当短促，徒增父母之悲。
子集,1453,,荫祖父基业，不止而守成。
子集,1454,,麟儿生下，无刑克之伤。
子集,1455,51，52,三径黄花落，渊明解印时。
子集,1456,23，24,黄鸟出谷，已迁乔木。
子集,1457,43，44,懿哉荫泽之博施。
子集,1458,,少年壮而老，总无安闲心。
子集,1459,,心性虽急而无毒。
子集,1460,65，66,东风入画堂，和气生满室。
子集,1461,,品优性温，事难决断。
子集,1462,56,花色更新，春色几时。
子集,1463,41,几番雨打柳花球，一阵风吹上舞楼。
子集,1464,81,月照楼台，及时行乐。
子集,1465,25，26,愁愁闷闷，多少离人恨。
子集,1466,,性急而雄躁，扶弱而抑强。
子集,1467,,兄弟三人，先损其二。
子集,1468,61,日照桑榆，犹足三千里。
子集,1469,45，46,晦气侵入，朦胧度日。
子集,1470,63，64,步步回头，坎坷已过。
子集,1471,17，18,犹之复喜，得意失意。
子集,1472,,少壮而老，发愤无穷。
子集,1473,,大数已到，发福无穷。
子集,1474,41，42,蓉菊初开，晚霞始落。
子集,1475,,兄弟三人，数有一贵。
子集,1476,50,家室康宁，流年之庆。
子集,1477,,莫嫌花色淡，黄花晚节香。
子集,1478,21，22,柳岸花飞春欲尽，愁人寂寞倚栏杆。
子集,1479,,数至太史官，至修撰东迁。
子集,1480,23，24,始舍圉圉，因而未纵。
子集,1481,17，18,既乘其时，可以有为。
子集,1482,,经营湖海，仅值千金。
子集,1483,,兄弟四人，三死非命。
子集,1484,11,欲是高楼未有梯，不能举步上扳跻。
子集,1485,55，56,路当坦途，可以安步。
子集,1486,59,花开尽矣。
子集,1487,,杀重身轻，须延其寿。
子集,1488,,妾生三子，妻生一儿。
子集,1489,19,沙边鸥鸟，相依忘仇。
子集,1490,,鸾坡视草官，至侍读荣身。
子集,1491,21，22,利见大人，无往不利。
子集,1492,,手中持拮据，争奈不求人。
子集,1493,35，36,且将心事付诸虚，纵有强梁不用忧。
子集,1494,41，42,其年有刑，丧骨肉叹凄凉。
子集,1495,61，62,老年丧子，人生不幸。
子集,1496,67，68,东篱黄菊正芬芳，相看白衣送酒归。
子集,1497,14,根浅风狂，树将吹倒。
子集,1498,45，46,班师皆相庆，人民诵西平。
子集,1499,,兄弟三人，数奏几般音。
子集,1500,,枯木逢春，岁月峥嵘。
子集,1501,47，48,钦命典试。
子集,1502,,兄弟七人，数有三贵。
子集,1503,45，46,道路崎岖，行人不辨东西。
子集,1504,,早运沉淹志未伸，纵然才大也难成。
子集,1505,,春花开时锦绣丛，风月晴和人意浓。
子集,1506,47,其年孝孤，蹙在眉头。
子集,1507,45,鬼伏前途，朝暮仔细。
子集,1508,30,梦兆飞鸿，官禄高擢。
子集,1509,73，74,一道恩光下九理，封侯庙堂立奇功。
子集,1510,68,扶杖过危桥，心机又恐慌。
子集,1511,,秋庆春常卿，月照庙堂彩。
子集,1512,31，32,麟经第一，凤翥无只。
子集,1513,63，64,身冒知石，险阴无虞。
子集,1514,21，22,享皇家之乐，济黎庶之忧。
子集,1515,,祖宗之业不守，子孙之基有余。
子集,1516,63,杨花扑面，三年泣血守亲帏。
子集,1517,,秩秉三来。
子集,1518,27，28,兄弟三人，乐奏几般音。
子集,1519,,天授衡士，归子司命。
子集,1520,24,老虎无牙，得解得脱。
子集,1521,,妻生一子.妾生一儿。
子集,1522,47,恩难图易，事巧有济。
子集,1523,,权重天关，山高日寺。
子集,1524,53,万里晴空，天开眼目。
子集,1525,,落花能结子，无弗又嫌迟。
子集,1526,55,龙吟苍海，云起飞腾。
子集,1527,,文星守命，官至主侍读荣身。
子集,1528,51,渡江风正好，欢聚趁潮来。
子集,1529,21，22,流年驳杂是非多，三番四覆。
子集,1530,"99,100",到老有精神，黄花晚节新。
子集,1531,54,事乖似花枝，零落东风里。
子集,1532,27，28,名利两悠悠，春去又复秋。
子集,1533,,营谋笔墨到公门，熟读萧曹有异名。
子集,1534,,课雨占晴茅，檐仅可逍遥。
子集,1535,63，64,可恨灾星不可逃.阴阳愆度祸相遭。
子集,1536,29，30,不见舟人未有来，大江风雨船难开。
子集,1537,29，30,幄幄从容，韶光明媚。
子集,1538,63，64,田园丰阜，家室安宁。
子集,1539,55，56,头生两角，事多差错。
子集,1540,49,官至布政，恩照万民。
子集,1541,23，24,武曲照命，弓马入泮。
子集,1542,78,凉风吹落叶，飘飘在墙角。
子集,1543,39,少年登科第，皇都得意回。
子集,1544,50，51,中馈人亡，未免寂寞。
子集,1545,,兄弟二人，秦楚干戈。
子集,1546,43，44,谨慎才富，束兵爱民。
子集,1547,25，26,屈子于长沙，时之未遇机。
子集,1548,11,雨中荷叶，风到珠落。
子集,1549,43，44,槽中有马宜收拾，一走长征去路遥。
子集,1550,20,葭萌飞灰，功名取之如反掌。
子集,1551,,勋齐宗伯皇，风杨孔乐辉。
子集,1552,,兄弟三人，数当尽贵。
子集,1553,29，30,点灯相照，往来大道。
子集,1554,45，46,仁声四达，昭于群生。
子集,1555,67,椿庭已折，泣血三年。
子集,1556,,举人授任，爵禄荣迁。
子集,1557,37，38,财利有余，事事得意。
子集,1558,,开辟抑提衡之任，一人资秉笔之司。
子集,1559,,兄弟四人，乐奏几般音。
子集,1560,,数有五子，三子送终。
子集,1561,,荆棘黄华，勾庐在位。
子集,1562,47，48,西园春老，桃李无颜。
子集,1563,45，46,上下得和同，家门喜气多。
子集,1564,23，24,巴巴急急，争个度日。
子集,1565,23，24,明月照前堤，征夫露湿衣。
子集,1566,,数定天符星，尚主寺卿职。
子集,1567,62,大限已定，卢衣乐之。
子集,1568,25，26,一轮明月出扶桑，瑞气盈盈出画堂。
子集,1569,67，68,老景安康，身强力健。
